trade_no,start_date,cusip,type,quantity,rate
3488141,2025-04-29 07:00:18,91282CEE7,REV,50000000,4.370000
3488142,2025-04-29 07:00:18,91282CEE7,REV,50000000,4.370000
3488144,2025-04-29 07:00:22,91282CEE7,REP,50000000,4.320000
3488145,2025-04-29 07:00:22,91282CEE7,REP,50000000,4.320000
3488146,2025-04-29 07:00:22,912797LW5,REV,50000000,4.300000
3488147,2025-04-29 07:00:22,912797LW5,REV,50000000,4.300000
3488150,2025-04-29 07:00:22,9128285W6,REV,50000000,4.310000
3488151,2025-04-29 07:00:22,912828Z37,REV,50000000,4.310000
3488156,2025-04-29 07:00:22,912797NW3,REV,50000000,4.300000
3488157,2025-04-29 07:00:22,912797NW3,REV,50000000,4.300000
3488164,2025-04-29 07:00:23,91282CJE2,REP,50000000,4.270000
3488166,2025-04-29 07:00:36,91282CEV9,REP,50000000,4.330000
3488167,2025-04-29 07:00:36,91282CEV9,REP,50000000,4.330000
3488174,2025-04-29 07:00:19,912797PT8,REP,50000000,4.190000
3488177,2025-04-29 07:00:24,912797NA1,REP,50000000,3.970000
3488178,2025-04-29 07:00:24,912797NA1,REP,50000000,3.970000
3488179,2025-04-29 07:00:24,912797NA1,REP,50000000,3.970000
3488180,2025-04-29 07:00:24,912797NA1,REP,50000000,3.970000
3488181,2025-04-29 07:00:24,912797NA1,REP,50000000,3.970000
3488182,2025-04-29 07:00:24,912797NA1,REP,50000000,3.970000
3488183,2025-04-29 07:00:24,912797NA1,REP,50000000,3.970000
3488184,2025-04-29 07:00:24,912797NA1,REP,50000000,3.970000
3488185,2025-04-29 07:00:24,912797NA1,REP,50000000,3.970000
3488186,2025-04-29 07:00:24,912797NA1,REP,50000000,3.970000
3488187,2025-04-29 07:00:48,91282CCY5,REP,50000000,4.350000
3488188,2025-04-29 07:00:19,91282CGH8,REV,50000000,4.380000
3488190,2025-04-29 07:00:36,91282CEV9,REV,50000000,4.360000
3488191,2025-04-29 07:00:36,91282CEV9,REV,50000000,4.360000
3488204,2025-04-29 07:00:39,91282CCY5,REV,50000000,4.370000
3488209,2025-04-29 07:01:16,91282CLU3,REP,50000000,4.350000
3488210,2025-04-29 07:01:16,91282CLU3,REP,50000000,4.350000
3488211,2025-04-29 07:01:17,912828R36,REP,50000000,4.370000
3488223,2025-04-29 07:01:16,91282CLU3,REV,50000000,4.370000
3488224,2025-04-29 07:01:16,91282CLU3,REV,50000000,4.370000
3488225,2025-04-29 07:01:17,912828R36,REV,50000000,4.390000
3488227,2025-04-29 07:01:19,912797PD3,REV,50000000,4.340000
